Anno,Macroarea,Settore,% Maschi,% Femmine,Gap %
2017,Isole,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,91.92,8.08,83.84
2017,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,91.49,8.51,82.97999999999999
2017,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,88.19,11.81,76.38
2017,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,86.64,13.36,73.28
2017,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,76.68,23.32,53.36000000000001
2017,Isole,ATTIVITÀ EDITORIALI,64.59,35.41,29.180000000000007
2017,Sud,ATTIVITÀ EDITORIALI,63.19,36.81,26.379999999999995
2017,Isole,ATTIVITÀ IMMOBILIARI,62.19,37.81,24.379999999999995
2017,Sud,ATTIVITÀ IMMOBILIARI,61.67,38.33,23.340000000000003
2017,Nord-est,ATTIVITÀ IMMOBILIARI,60.95,39.05,21.900000000000006
2017,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,59.21,40.79,18.42
2017,Nord-ovest,ATTIVITÀ IMMOBILIARI,59.11,40.89,18.22
2017,Centro,ATTIVITÀ IMMOBILIARI,59.03,40.97,18.060000000000002
2017,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,58.33,41.67,16.659999999999997
2017,Sud,RICERCA SCIENTIFICA E SVILUPPO,57.98,42.02,15.959999999999994
2017,Centro,RICERCA SCIENTIFICA E SVILUPPO,57.87,42.13,15.739999999999995
2017,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,57.46,42.54,14.920000000000002
2017,Isole,ATTIVITÀ LEGALI E CONTABILITÀ,52.68,47.32,5.359999999999999
2017,Nord-est,ATTIVITÀ EDITORIALI,52.11,47.89,4.219999999999999
2017,Isole,RICERCA SCIENTIFICA E SVILUPPO,51.06,48.94,2.1200000000000045
2017,Centro,ATTIVITÀ EDITORIALI,50.8,49.2,1.5999999999999943
2017,Nord-ovest,ATTIVITÀ EDITORIALI,48.1,51.9,-3.799999999999997
2017,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,45.31,54.69,-9.379999999999995
2017,Nord-est,ISTRUZIONE,42.7,57.3,-14.599999999999994
2017,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,39.0,61.0,-22.0
2017,Sud,SANITÀ E ASSISTENZA SOCIALE,38.9,61.1,-22.200000000000003
2017,Nord-ovest,ISTRUZIONE,37.75,62.25,-24.5
2017,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,37.44,62.56,-25.120000000000005
2017,Isole,SANITÀ E ASSISTENZA SOCIALE,37.03,62.97,-25.939999999999998
2017,Isole,ISTRUZIONE,33.41,66.59,-33.18000000000001
2017,Centro,ISTRUZIONE,33.19,66.81,-33.620000000000005
2017,Sud,ISTRUZIONE,33.1,66.9,-33.800000000000004
2017,Centro,SANITÀ E ASSISTENZA SOCIALE,32.69,67.31,-34.620000000000005
2017,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,28.76,71.24,-42.47999999999999
2017,Nord-est,SANITÀ E ASSISTENZA SOCIALE,27.87,72.13,-44.25999999999999
