Anno,Macroarea,Settore di lavoro,Totale,Maschi,Femmine,% Maschi,% Femmine
2017,Centro,ATTIVITÀ EDITORIALI,5814.280000000001,2953.42,2860.86,50.8,49.2
2017,Centro,ATTIVITÀ IMMOBILIARI,142830.44,84316.72,58513.72,59.03,40.97
2017,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,113932.82,51625.4,62307.420000000006,45.31,54.69
2017,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17271.13,13243.210000000001,4027.92,76.68,23.32
2017,Centro,ISTRUZIONE,53783.18,17852.0,35931.18,33.19,66.81
2017,Centro,RICERCA SCIENTIFICA E SVILUPPO,7458.81,4316.26,3142.55,57.87,42.13
2017,Centro,SANITÀ E ASSISTENZA SOCIALE,191436.74,62579.729999999996,128857.01,32.69,67.31
2017,Isole,ATTIVITÀ EDITORIALI,1131.72,730.96,400.76,64.59,35.41
2017,Isole,ATTIVITÀ IMMOBILIARI,22185.979999999996,13798.179999999998,8387.8,62.19,37.81
2017,Isole,ATTIVITÀ LEGALI E CONTABILITÀ,40880.25,21534.98,19345.269999999997,52.68,47.32
2017,Isole,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,2673.87,2457.75,216.12,91.92,8.08
2017,Isole,ISTRUZIONE,21354.560000000005,7135.300000000001,14219.260000000002,33.41,66.59
2017,Isole,RICERCA SCIENTIFICA E SVILUPPO,982.05,501.47999999999996,480.57000000000005,51.06,48.94
2017,Isole,SANITÀ E ASSISTENZA SOCIALE,87831.37000000001,32523.81,55307.560000000005,37.03,62.97
2017,Nord-est,ATTIVITÀ EDITORIALI,5799.09,3021.7400000000002,2777.35,52.11,47.89
2017,Nord-est,ATTIVITÀ IMMOBILIARI,177585.41999999998,108238.45999999999,69346.95999999999,60.95,39.05
2017,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,99972.38999999998,37430.13,62542.259999999995,37.44,62.56
2017,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3173.93,2799.1699999999996,374.76000000000005,88.19,11.81
2017,Nord-est,ISTRUZIONE,48026.24,20509.559999999998,27516.68,42.7,57.3
2017,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,6982.780000000001,4134.38,2848.4,59.21,40.79
2017,Nord-est,SANITÀ E ASSISTENZA SOCIALE,193264.78,53860.35,139404.43,27.87,72.13
2017,Nord-ovest,ATTIVITÀ EDITORIALI,19678.699999999997,9464.63,10214.069999999998,48.1,51.9
2017,Nord-ovest,ATTIVITÀ IMMOBILIARI,218197.90000000002,128968.52000000002,89229.38,59.11,40.89
2017,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,150421.38,58669.5,91751.87999999999,39.0,61.0
2017,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4101.99,3553.8599999999997,548.13,86.64,13.36
2017,Nord-ovest,ISTRUZIONE,70990.68,26799.6,44191.08,37.75,62.25
2017,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,13172.39,7568.780000000001,5603.61,57.46,42.54
2017,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,283379.18,81500.73000000001,201878.44999999998,28.76,71.24
2017,Sud,ATTIVITÀ EDITORIALI,2396.04,1514.1699999999998,881.87,63.19,36.81
2017,Sud,ATTIVITÀ IMMOBILIARI,53865.520000000004,33220.72,20644.8,61.67,38.33
2017,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,98281.73,57324.38,40957.35,58.33,41.67
2017,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3551.34,3248.9700000000003,302.37,91.49,8.51
2017,Sud,ISTRUZIONE,45928.12000000001,15202.740000000002,30725.380000000005,33.1,66.9
2017,Sud,RICERCA SCIENTIFICA E SVILUPPO,3433.0299999999997,1990.54,1442.49,57.98,42.02
2017,Sud,SANITÀ E ASSISTENZA SOCIALE,162626.97999999998,63262.369999999995,99364.61,38.9,61.1
