Anno,Macroarea,Settore di lavoro,Totale,Maschi,Femmine,% Maschi,% Femmine
2012,Centro,ATTIVITÀ EDITORIALI,9558.19,5238.04,4320.150000000001,54.8,45.2
2013,Centro,ATTIVITÀ EDITORIALI,8890.2,4879.62,4010.5800000000004,54.89,45.11
2015,Centro,ATTIVITÀ EDITORIALI,7180.460000000001,3814.9300000000003,3365.53,53.13,46.87
2016,Centro,ATTIVITÀ EDITORIALI,6066.210000000001,3087.5300000000007,2978.68,50.9,49.1
2017,Centro,ATTIVITÀ EDITORIALI,5814.280000000001,2953.42,2860.86,50.8,49.2
2012,Centro,ATTIVITÀ IMMOBILIARI,138988.8,83128.62,55860.18000000001,59.81,40.19
2013,Centro,ATTIVITÀ IMMOBILIARI,140664.62,84770.81999999999,55893.799999999996,60.26,39.74
2015,Centro,ATTIVITÀ IMMOBILIARI,138194.62,82252.94,55941.68,59.52,40.48
2016,Centro,ATTIVITÀ IMMOBILIARI,143460.22,84747.3,58712.92,59.07,40.93
2017,Centro,ATTIVITÀ IMMOBILIARI,142830.44,84316.72,58513.72,59.03,40.97
2012,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,109639.73000000001,49824.76,59814.97,45.44,54.56
2013,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,107983.70999999999,49426.27,58557.44,45.77,54.23
2015,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,109887.62000000001,50046.64,59840.98000000001,45.54,54.46
2016,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,113196.01999999999,51385.62,61810.399999999994,45.4,54.6
2017,Centro,ATTIVITÀ LEGALI E CONTABILITÀ,113932.82,51625.4,62307.420000000006,45.31,54.69
2012,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17063.44,13456.23,3607.21,78.86,21.14
2013,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17810.85,13765.76,4045.09,77.29,22.71
2015,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17665.1,13421.669999999998,4243.43,75.98,24.02
2016,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17905.09,13616.56,4288.53,76.05,23.95
2017,Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,17271.13,13243.210000000001,4027.92,76.68,23.32
2012,Centro,ISTRUZIONE,50299.44,15900.900000000001,34398.54,31.61,68.39
2013,Centro,ISTRUZIONE,50761.86,16090.64,34671.22,31.7,68.3
2015,Centro,ISTRUZIONE,49952.38,16840.18,33112.2,33.71,66.29
2016,Centro,ISTRUZIONE,51100.619999999995,16889.12,34211.5,33.05,66.95
2017,Centro,ISTRUZIONE,53783.18,17852.0,35931.18,33.19,66.81
2012,Centro,RICERCA SCIENTIFICA E SVILUPPO,5998.83,3468.0,2530.83,57.81,42.19
2013,Centro,RICERCA SCIENTIFICA E SVILUPPO,6026.33,3563.45,2462.88,59.13,40.87
2015,Centro,RICERCA SCIENTIFICA E SVILUPPO,6040.099999999999,3439.4399999999996,2600.66,56.94,43.06
2016,Centro,RICERCA SCIENTIFICA E SVILUPPO,7579.2699999999995,4660.67,2918.5999999999995,61.49,38.51
2017,Centro,RICERCA SCIENTIFICA E SVILUPPO,7458.81,4316.26,3142.55,57.87,42.13
2012,Centro,SANITÀ E ASSISTENZA SOCIALE,164772.13999999998,54414.01,110358.12999999999,33.02,66.98
2013,Centro,SANITÀ E ASSISTENZA SOCIALE,166236.66,55033.369999999995,111203.29000000001,33.11,66.89
2015,Centro,SANITÀ E ASSISTENZA SOCIALE,179342.62,58760.82000000001,120581.79999999999,32.76,67.24
2016,Centro,SANITÀ E ASSISTENZA SOCIALE,184421.44,60377.74999999999,124043.69,32.74,67.26
2017,Centro,SANITÀ E ASSISTENZA SOCIALE,191436.74,62579.729999999996,128857.01,32.69,67.31
2012,Isole,ATTIVITÀ EDITORIALI,1822.44,1227.49,594.95,67.35,32.65
2013,Isole,ATTIVITÀ EDITORIALI,1376.03,912.05,463.98,66.28,33.72
2015,Isole,ATTIVITÀ EDITORIALI,1169.33,753.57,415.76,64.44,35.56
2016,Isole,ATTIVITÀ EDITORIALI,1194.55,769.2299999999999,425.32,64.39,35.61
2017,Isole,ATTIVITÀ EDITORIALI,1131.72,730.96,400.76,64.59,35.41
2012,Isole,ATTIVITÀ IMMOBILIARI,19923.920000000002,12193.920000000002,7730.0,61.2,38.8
2013,Isole,ATTIVITÀ IMMOBILIARI,20050.260000000002,12581.7,7468.5599999999995,62.75,37.25
2015,Isole,ATTIVITÀ IMMOBILIARI,20045.52,12581.18,7464.34,62.76,37.24
2016,Isole,ATTIVITÀ IMMOBILIARI,21223.04,13263.779999999999,7959.26,62.5,37.5
2017,Isole,ATTIVITÀ IMMOBILIARI,22185.979999999996,13798.179999999998,8387.8,62.19,37.81
2012,Isole,ATTIVITÀ LEGALI E CONTABILITÀ,38150.22,20653.9,17496.32,54.14,45.86
2013,Isole,ATTIVITÀ LEGALI E CONTABILITÀ,38082.86,20678.97,17403.89,54.3,45.7
